"행정구역(시군구)별",2024.01,2024.01,2024.01,2024.02,2024.02,2024.02,2024.03,2024.03,2024.03
"행정구역(시군구)별",총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명)
"중구",208568,105484,103084,208249,105369,102880,208044,105311,102733
"남구",306762,156534,150228,306068,156192,149876,305615,156022,149593
"동구",152104,79360,72744,151796,79227,72569,151648,79160,72488
"북구",217045,112423,104622,217047,112465,104582,216917,112398,104519
"울주군",218923,113280,105643,219001,113351,105650,219112,113461,105651
"세종특별자치시",386944,192704,194240,387193,192836,194357,387411,192907,194504
"세종시",386944,192704,194240,387193,192836,194357,387411,192907,194504
"경기도",13635250,6857867,6777383,13639616,6859811,6779805,13642451,6860823,6781628
"수원시",1197220,602313,594907,1196856,602190,594666,1196818,602085,594733
"장안구",270959,136151,134808,271316,136314,135002,271526,136393,135133
"권선구",366306,185101,181205,365904,184851,181053,365844,184831,181013
"팔달구",196921,99145,97776,196573,99005,97568,196326,98835,97491
"영통구",363034,181916,181118,363063,182020,181043,363122,182026,181096
"성남시",919856,455212,464644,919855,455203,464652,919464,455112,464352
"수정구",236825,119944,116881,237291,120151,117140,237514,120260,117254
"중원구",210369,106258,104111,210179,106151,104028,209947,106029,103918
"분당구",472662,229010,243652,472385,228901,243484,472003,228823,243180
"의정부시",463724,227907,235817,463077,227544,235533,462466,227202,235264
"안양시",546078,269636,276442,546534,269849,276685,546384,269727,276657
"만안구",230139,114885,115254,229819,114721,115098,229483,114553,114930
"동안구",315939,154751,161188,316715,155128,161587,316901,155174,161727
"부천시",778874,384980,393894,777547,384227,393320,776349,383558,392791
"원미구",393826,193682,200144,393169,193309,199860,392656,193021,199635
"소사구",229858,112904,116954,229610,112751,116859,229362,112594,116768
"오정구",155190,78394,76796,154768,78167,76601,154331,77943,76388
"광명시",279943,137331,142612,279514,137087,142427,279231,136958,142273
"평택시",591878,310958,280920,592120,311046,281074,592800,311395,281405
"송탄출장소",0,0,0,0,0,0,0,0,0
"안중출장소",0,0,0,0,0,0,0,0,0
"동두천시",88539,44123,44416,88255,43978,44277,87875,43810,44065
"안산시",628374,321849,306525,627497,321464,306033,626954,321218,305736
"상록구",333879,170228,163651,332718,169678,163040,332095,169384,162711
"단원구",294495,151621,142874,294779,151786,142993,294859,151834,143025
"고양시",1073751,523765,549986,1072474,523136,549338,1071339,522448,548891
"덕양구",495660,243657,252003,494844,243228,251616,494226,242905,251321
"일산동구",291491,141296,150195,291427,141281,150146,291363,141246,150117
"일산서구",286600,138812,147788,286203,138627,147576,285750,138297,147453
"과천시",81071,39685,41386,81743,39992,41751,82860,40513,42347
"구리시",186846,92406,94440,186585,92286,94299,186261,92120,94141
"남양주시",732472,363275,369197,732464,363243,369221,732810,363337,369473
"풍양출장소",0,0,0,0,0,0,0,0,0
"오산시",230108,119984,110124,231937,120959,110978,232965,121500,111465
"시흥시",519306,270911,248395,518817,270629,248188,519109,270831,248278
"군포시",260693,129295,131398,260169,129044,131125,259798,128865,130933
"의왕시",158221,78516,79705,157693,78237,79456,157141,77941,79200
"하남시",329688,164114,165574,329482,163996,165486,329196,163836,165360
"용인시",1076859,534001,542858,1078069,534614,543455,1078150,534674,543476
"처인구",261719,134372,127347,262954,135013,127941,263469,135279,128190
"기흥구",437751,215786,221965,437677,215738,221939,437633,215770,221863
"수지구",377389,183843,193546,377438,183863,193575,377048,183625,193423
"파주시",499883,253229,246654,502453,254463,247990,503547,254942,248605
"이천시",221693,115393,106300,221502,115363,106139,221366,115307,106059
"안성시",189406,97965,91441,190209,98371,91838,190425,98476,91949
"김포시",486026,242822,243204,485689,242577,243112,485532,242463,243069
"화성시",946582,491662,454920,948358,492568,455790,949912,493348,456564
"화성시동부출장소",0,0,0,0,0,0,0,0,0
"화성시동탄출장소",0,0,0,0,0,0,0,0,0
"광주시",391866,199833,192033,392067,199898,192169,392381,200093,192288
"양주시",269658,136127,133531,272378,137420,134958,275284,138795,136489
"포천시",143157,75787,67370,142797,75608,67189,142542,75442,67100
"여주시",114336,58157,56179,114275,58156,56119,114289,58176,56113
"연천군",41487,21738,19749,41342,21665,19677,41236,21621,19615
"가평군",62274,32087,30187,62249,32069,30180,62245,32034,30211
"양평군",125381,62806,62575,125609,62929,62680,125722,62996,62726
"강원특별자치도",1526243,767496,758747,1524624,766727,757897,1524198,766562,757636
"춘천시",286168,141281,144887,286262,141304,144958,286719,141512,145207
"원주시",361498,179007,182491,361459,179051,182408,361223,178971,182252
"강릉시",209174,103616,105558,208939,103531,105408,208800,103479,105321
"동해시",88591,45007,43584,88377,44883,43494,88181,44766,43415
"태백시",38613,19464,19149,38466,19408,19058,38354,19385,18969
"속초시",82021,40606,41415,81806,40475,41331,81626,40371,41255
"삼척시",62309,31645,30664,62078,31544,30534,62522,31819,30703
"홍천군",67348,34685,32663,67290,34665,32625,67278,34652,32626
"횡성군",46265,23785,22480,46262,23767,22495,46194,23727,22467
"영월군",37260,19264,17996,37183,19229,17954,37184,19220,17964
"평창군",40642,21054,19588,40562,21020,19542,40533,20994,19539
"정선군",34139,17813,16326,34054,17783,16271,33990,17749,16241
"철원군",41319,21395,19924,41177,21316,19861,41113,21269,19844
"화천군",22942,12282,10660,22859,12233,10626,22830,12230,10600
"양구군",20975,10994,9981,21050,11028,10022,21023,11012,10011
"인제군",32004,17421,14583,31853,17323,14530,31764,17282,14482
"고성군",27294,14008,13286,27261,13992,13269,27220,13965,13255
"양양군",27681,14169,13512,27686,14175,13511,27644,14159,13485
"충청북도",1592155,809830,782325,1590947,809319,781628,1591044,809472,781572
"청주시",851951,430319,421632,851715,430187,421528,851430,430091,421339
"서원구",186023,92576,93447,185733,92466,93267,185582,92420,93162
"청원구",190559,98111,92448,190438,98047,92391,190315,97989,92326
"상당구",200726,99728,100998,200645,99630,101015,200448,99542,100906
"흥덕구",274643,139904,134739,274899,140044,134855,275085,140140,134945
"충주시",207761,105446,102315,207668,105404,102264,207550,105334,102216
"제천시",129852,65296,64556,129541,65153,64388,130200,65542,64658
"보은군",30950,15654,15296,30906,15652,15254,30884,15637,15247
"옥천군",48863,24694,24169,48778,24639,24139,48754,24635,24119
"영동군",44120,22138,21982,44004,22093,21911,43975,22088,21887
"증평군",37499,19531,17968,37465,19532,17933,37400,19494,17906
"진천군",86065,45547,40518,85958,45488,40470,86370,45690,40680
"괴산군",36438,18800,17638,36381,18797,17584,36319,18787,17532
"음성군",90976,48329,42647,90876,48297,42579,90542,48119,42423
"단양군",27680,14076,13604,27655,14077,13578,27620,14055,13565
"충청남도",2130509,1092059,1038450,2131309,1092711,1038598,2132745,1093684,1039061
"당진시",170353,91074,79279,170289,91075,79214,170266,91121,79145
"천안시",655791,336124,319667,656478,336539,319939,657089,336945,320144
"동남구",257698,130601,127097,259111,131316,127795,259709,131669,128040
"서북구",398093,205523,192570,397367,205223,192144,397380,205276,192104
"공주시",101906,50861,51045,101772,50787,50985,102138,50909,51229
"보령시",95564,48365,47199,95260,48234,47026,94994,48112,46882
"아산시",347243,181007,166236,348532,181718,166814,349588,182327,167261
"서산시",175894,92055,83839,175750,92021,83729,175650,92007,83643
"논산시",110336,55167,55169,110051,55039,55012,109865,54928,54937
"계룡시",46716,23333,23383,46800,23394,23406,46724,23352,23372
"금산군",50025,25353,24672,49948,25327,24621,50129,25435,24694
"부여군",60869,30324,30545,60731,30256,30475,60561,30161,30400
